iter,time,Mx,My,Mz,DMx,DMy,DMz,x,y,z,rxx,rxy,rxz,ryx,ryy,ryz,rzx,rzy,rzz
0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0
41,15.753563,-7.417576,-15.515136,-15.856811,0,0,0,-0.253976,-0.095853,0.069044,-0.662553,0.152485,-0.733329,-0.079776,-0.992226,-0.095515,-0.742493,-0.004784,0.669837
7,2.691861,-7.008524,-12.790588,-15.262446,0.409053,2.724548,0.594365,-0.246938,-0.132024,0.111789,-0.801456,-0.084781,-0.592014,0.081915,-0.993881,0.074092,-0.594863,0.01089,0.803753
10,4.038593,-10.195491,-13.790714,-15.009807,-3.186967,-1.000127,0.252639,-0.267974,-0.075148,0.115954,-0.828229,0.218329,-0.51611,0.133159,-0.831496,-0.539336,-0.546945,-0.515465,0.659656
11,4.03994,-8.017576,-15.033617,-13.880925,2.177915,-1.242903,1.128882,-0.265913,-0.083176,0.104588,-0.78789,0.126448,-0.602694,-0.077113,-0.994813,-0.066339,-0.608148,-0.005794,0.793803
11,4.188052,-10.16819,-12.67213,-15.510496,-2.150614,2.361487,-1.629571,-0.263054,-0.092584,0.122657,-0.85825,0.145667,-0.492126,0.201711,-0.799922,-0.565188,-0.476023,-0.584378,0.657194
7,2.428645,-9.829667,-15.746619,-15.380985,0.338523,-3.074489,0.129511,-0.267147,-0.057048,0.083613,-0.701243,0.332015,-0.630892,0.061978,-0.866186,-0.495864,-0.711222,-0.386887,0.586926
5,1.828101,-9.826698,-15.829722,-14.469663,0.002969,-0.083103,0.911322,-0.270631,-0.051369,0.093995,-0.732674,0.322189,-0.599485,0.004703,-0.891256,-0.453475,-0.68052,-0.335128,0.6516
6,2.224268,-8.939928,-15.59866,-15.748083,0.88677,0.231062,-1.278419,-0.262155,-0.073104,0.076235,-0.687092,0.265971,-0.676139,0.031156,-0.930415,-0.365182,-0.726392,-0.272045,0.631146
9,3.253238,-9.371732,-14.134521,-14.270964,-0.431804,1.464139,1.477119,-0.268036,-0.077824,0.117833,-0.832528,0.170926,-0.526955,0.055132,-0.932967,-0.355714,-0.552521,-0.325246,0.767421
6,2.222027,-9.007822,-12.904886,-12.658499,0.363911,1.229635,1.612465,-0.265633,-0.08582,0.156717,-0.926641,0.048493,-0.372807,0.04474,-0.980541,-0.19115,-0.374881,-0.193837,0.906582
6,2.351158,-9.334291,-14.52209,-12.85821,-0.326469,-1.617204,-0.19971,-0.272533,-0.063433,0.131322,-0.860043,0.185835,-0.475174,-0.038181,-0.962914,-0.267093,-0.507281,-0.211608,0.835397
5,1.776404,-8.865279,-13.978156,-12.788686,0.469011,0.543934,0.069524,-0.269644,-0.075927,0.138459,-0.88384,0.112729,-0.454003,-0.018368,-0.986146,-0.164857,-0.466391,-0.137396,0.873843
7,2.509295,-8.748068,-13.850081,-15.1526,0.117212,0.128074,-2.363915,-0.261622,-0.095059,0.106371,-0.804586,0.118043,-0.581986,0.090607,-0.954343,-0.284639,-0.589131,-0.281804,0.757305
7,2.803336,-8.001635,-15.625794,-13.755062,0.746432,-1.775713,1.397538,-0.267124,-0.07548,0.097518,-0.760237,0.163949,-0.628618,-0.125457,-0.989975,-0.064881,-0.63317,0.02955,0.773448
7,2.67478,-7.498518,-14.547057,-15.82728,0.503117,1.078737,-2.072218,-0.253358,-0.106714,0.082231,-0.717444,0.0901,-0.690765,-0.005187,-0.99626,-0.086246,-0.696196,-0.058314,0.715479
8,2.959938,-9.256516,-14.66833,-13.209901,-1.757999,-0.121273,2.617379,-0.27183,-0.065469,0.124152,-0.841756,0.190815,-0.505011,-0.030787,-0.961494,-0.273094,-0.53778,-0.214372,0.815376
8,3.062653,-7.303257,-15.040153,-15.843638,1.953259,-0.371823,-2.633737,-0.252852,-0.103425,0.074765,-0.68654,0.110487,-0.718649,-0.057672,-0.996591,-0.058986,-0.723002,0.00095,0.690845
10,3.785947,-7.653505,-15.502295,-13.281726,-0.350247,-0.462142,2.561912,-0.267462,-0.078628,0.104092,-0.781602,0.124999,-0.611124,-0.155706,-0.986922,0.041731,-0.598136,0.12782,0.791135
6,2.115795,-7.36065,-15.484964,-14.740622,0.292854,0.017331,-1.458896,-0.259533,-0.092136,0.083946,-0.715866,0.120035,-0.687843,-0.124523,-0.992214,-0.002215,-0.68303,0.084101,0.725533
10,3.771258,-9.548243,-14.955408,-15.508441,-2.187593,0.529556,-0.767819,-0.265578,-0.07166,0.090745,-0.742451,0.261313,-0.616832,0.087623,-0.887637,-0.452131,-0.66578,-0.389798,0.636235
9,3.338062,-9.943514,-14.955326,-12.771136,-0.39527,8.2e-05,2.737305,-0.275009,-0.048972,0.128684,-0.841094,0.260786,-0.473868,-0.05024,-0.922914,-0.381715,-0.536968,-0.297297,0.789481
9,3.347255,-8.089106,-12.67554,-13.232683,1.854408,2.279786,-0.461546,-0.25948,-0.105699,0.148259,-0.905144,-0.037693,-0.42343,0.077136,-0.996647,-0.027295,-0.421072,-0.05738,0.905211
7,2.541009,-7.777317,-15.222371,-15.432741,0.311789,-2.546831,-2.200058,-0.257974,-0.092818,0.07999,-0.706411,0.14776,-0.692207,-0.046191,-0.990927,-0.126214,-0.704822,-0.057206,0.707074
11,3.985585,-9.781396,-14.127249,-12.589605,-2.004079,1.095122,2.843136,-0.273039,-0.059864,0.142702,-0.886558,0.192652,-0.420596,-0.023813,-0.940036,-0.340244,-0.460989,-0.291672,0.838103
7,2.430387,-9.833395,-15.347864,-14.694031,-0.051999,-1.220615,-2.104427,-0.269869,-0.058579,0.097736,-0.754091,0.293994,-0.587294,0.03878,-0.885615,-0.462797,-0.656281,-0.371826,0.656538
13,4.973237,-8.124861,-12.716461,-13.778626,1.708534,2.631404,0.915405,-0.258498,-0.108882,0.139637,-0.887199,-0.028957,-0.460477,0.092503,-0.993179,-0.070987,-0.455378,-0.105598,0.884014
5,1.837802,-7.394205,-12.683828,-13.886974,0.730656,0.032632,-0.108348,-0.254078,-0.119737,0.13588,-0.869231,-0.085589,-0.486942,0.077158,-0.993412,0.084734,-0.49112,0.036092,0.870344
7,2.579711,-7.38453,-15.376198,-12.488778,0.009675,-2.69237,1.398196,-0.26911,-0.077761,0.115266,-0.814594,0.092873,-0.572548,-0.186797,-0.969791,0.156881,-0.54089,0.234835,0.807645
10,3.529031,-9.84831,-12.874974,-12.483995,-2.46378,2.501224,0.004783,-0.268274,-0.073426,0.162783,-0.936402,0.110605,-0.333042,0.031756,-0.934064,-0.35569,-0.350462,-0.343682,0.87124
10,3.630284,-10.002823,-12.939346,-13.010866,-2.34897,2.50204,1.427386,-0.268478,-0.075049,0.155111,-0.92279,0.125807,-0.364187,0.054872,-0.90828,-0.414749,-0.382998,-0.402749,0.831328
7,2.498663,-8.695416,-13.572717,-13.887997,1.307406,-0.633371,-0.877132,-0.264735,-0.091567,0.128206,-0.86319,0.076304,-0.49908,0.051141,-0.9788,-0.19833,-0.503732,-0.196759,0.841154
5,1.944437,-8.300362,-13.161863,-13.853798,0.395054,0.410855,0.034199,-0.261349,-0.1017,0.132932,-0.873697,0.016804,-0.48618,0.067349,-0.991344,-0.112701,-0.48397,-0.131239,0.865188
7,2.580616,-6.892379,-14.590757,-14.775695,1.407984,-1.428894,-0.921897,-0.255206,-0.109569,0.094198,-0.750398,0.023762,-0.660559,-0.089664,-0.989929,0.109552,-0.65157,0.141494,0.745276
12,4.42241,-9.423414,-15.180966,-14.822634,-2.531035,-0.590209,-0.046939,-0.267972,-0.067164,0.096267,-0.756675,0.25471,-0.602134,0.033111,-0.917019,-0.397466,-0.653529,-0.32075,0.68558
5,1.928804,-9.736464,-15.769572,-14.881399,-0.31305,-0.588606,-0.058765,-0.268856,-0.055639,0.089155,-0.720009,0.31783,-0.616904,0.026273,-0.888625,-0.457882,-0.693849,-0.345949,0.63158
9,3.074768,-7.933145,-15.509228,-13.389182,1.803319,0.260344,1.492218,-0.268172,-0.075338,0.103706,-0.78045,0.147709,-0.607519,-0.135569,-0.990488,-0.023564,-0.605428,0.063992,0.793323
10,3.646462,-9.759995,-14.678306,-14.981178,-1.82685,0.830922,-1.591997,-0.268116,-0.069646,0.102537,-0.781099,0.247774,-0.573142,0.080892,-0.882938,-0.462469,-0.620725,-0.407655,0.669715
10,4.21823,-6.783003,-14.772828,-13.891706,2.976992,-0.094522,1.089473,-0.25927,-0.10362,0.10359,-0.778599,0.0143,-0.627359,-0.136196,-0.971686,0.193071,-0.607091,0.235867,0.75882
10,3.388624,-9.280823,-14.070465,-14.684309,-2.49782,0.702363,-0.792603,-0.266225,-0.08238,0.1125,-0.819558,0.16522,-0.548659,0.076362,-0.929431,-0.361008,-0.569679,-0.337819,0.749229
7,2.601819,-8.061883,-14.475505,-14.844186,1.21894,-0.40504,-0.159878,-0.261051,-0.09514,0.099406,-0.776994,0.104986,-0.620692,0.00256,-0.991204,-0.132321,-0.629304,-0.104431,0.770111
7,2.518065,-7.345028,-12.600312,-14.884802,0.716855,1.875194,-0.040615,-0.249753,-0.127819,0.121385,-0.832227,-0.081267,-0.548447,0.10721,-0.993856,0.027495,-0.547463,-0.035927,0.836058
7,2.665949,-7.297908,-15.241835,-14.075881,0.047121,-2.641524,0.808921,-0.262101,-0.092086,0.096086,-0.757571,0.088092,-0.646782,-0.132442,-0.989132,0.063856,-0.634377,0.13409,0.761305
9,3.385102,-8.455658,-13.130418,-13.850567,-1.15775,2.111417,0.225314,-0.261939,-0.099964,0.134017,-0.877315,0.026309,-0.479193,0.073057,-0.98657,-0.146089,-0.476697,-0.163207,0.863784
9,3.441287,-7.530216,-15.175216,-15.349815,0.925443,-2.044798,-1.499248,-0.256996,-0.096514,0.080678,-0.708015,0.124185,-0.695193,-0.065887,-0.995273,-0.071347,-0.701029,-0.004712,0.713117
7,2.529464,-7.003625,-13.037746,-15.609591,0.526591,2.13747,-0.259776,-0.246474,-0.13082,0.103158,-0.777993,-0.059076,-0.62549,0.069408,-0.996383,0.049023,-0.626332,-0.005276,0.779539
7,2.632185,-7.049976,-13.860795,-13.008116,-0.046352,-0.823049,2.601476,-0.261063,-0.103975,0.130558,-0.856863,-0.034597,-0.514381,-0.059931,-0.974444,0.216487,-0.508902,0.216403,0.83318
10,3.660448,-9.383184,-14.171802,-15.08514,-2.333207,-0.311007,-2.077024,-0.265479,-0.081889,0.105957,-0.800155,0.186644,-0.570014,0.095152,-0.911165,-0.400904,-0.594296,-0.375082,0.711425
7,2.503127,-8.249883,-14.544533,-13.322932,1.1333,-0.372731,1.762208,-0.267769,-0.081865,0.120268,-0.835897,0.106184,-0.538518,-0.052483,-0.99605,-0.071618,-0.544144,-0.031611,0.838396
5,1.960338,-7.440179,-14.500335,-13.435394,0.809705,0.044197,-0.112462,-0.263759,-0.09449,0.116301,-0.822292,0.041662,-0.567539,-0.08319,-0.992104,0.093859,-0.559339,0.124435,0.819546
10,3.708494,-9.445391,-14.459758,-15.204256,-2.005212,0.040577,-1.768861,-0.265803,-0.077994,0.100769,-0.781234,0.213544,-0.586577,0.089729,-0.90394,-0.418141,-0.619621,-0.379359,0.687137
11,3.738405,-7.565367,-14.887238,-12.879694,1.880024,-0.42748,2.324562,-0.26738,-0.083992,0.118439,-0.827092,0.074958,-0.557046,-0.125236,-0.98703,0.100436,-0.542481,0.152885,0.826039
9,3.413562,-8.486192,-12.450908,-14.137458,-0.920825,2.43633,-1.257764,-0.257907,-0.109844,0.139158,-0.88926,-0.017474,-0.457068,0.129933,-0.976042,-0.174524,-0.443145,-0.214623,0.870379
6,2.312726,-8.118311,-13.507074,-13.342274,0.367881,-1.056166,0.795184,-0.263524,-0.096221,0.134774,-0.876238,0.023995,-0.481281,0.01933,-0.999043,-0.039247,-0.481879,-0.043704,0.875147
7,2.531918,-9.213826,-14.032175,-14.740036,-1.095516,-0.525101,-1.397762,-0.265672,-0.084108,0.111924,-0.81855,0.158389,-0.552167,0.078837,-0.932913,-0.351367,-0.570872,-0.331198,0.751274
6,2.302663,-9.809593,-15.074035,-14.975856,-0.595767,-1.04186,-0.235821,-0.26866,-0.06389,0.097601,-0.759221,0.278308,-0.588327,0.065591,-0.879559,-0.471248,-0.648717,-0.396429,0.649623
7,2.547948,-9.082638,-15.389555,-12.675873,0.726956,-0.31552,2.299983,-0.273948,-0.055063,0.119473,-0.819973,0.224675,-0.526466,-0.104753,-0.971982,-0.210425,-0.559124,-0.117422,0.820727
14,5.015199,-6.97635,-12.721012,-13.633403,2.106288,2.668543,-0.95753,-0.252712,-0.122941,0.137867,-0.8674,-0.116609,-0.483756,0.051019,-0.979321,0.195772,-0.496734,0.145176,0.855675
9,3.267624,-8.493127,-14.50471,-14.949102,-1.516778,-1.783698,-1.315699,-0.262764,-0.089345,0.099385,-0.778012,0.141251,-0.612164,0.029107,-0.97381,-0.225492,-0.628137,-0.193301,0.75371
7,2.687633,-9.174999,-14.193303,-13.69593,-0.681872,0.311406,1.253173,-0.269136,-0.075981,0.124115,-0.848132,0.154683,-0.5067,0.017665,-0.958471,-0.284642,-0.529782,-0.25041,0.810324
9,3.086848,-7.495389,-15.512787,-15.276412,1.67961,-1.319484,-1.580482,-0.257492,-0.092547,0.076964,-0.691797,0.143059,-0.707778,-0.09618,-0.993102,-0.067071,-0.712772,0.021683,0.701061
7,2.908991,-7.462404,-12.837651,-15.547696,0.032986,2.675137,-0.271285,-0.248954,-0.126881,0.108383,-0.800368,-0.041191,-0.598093,0.11277,-0.992687,-0.043079,-0.592109,-0.101954,0.799382
9,3.524851,-10.01367,-14.777326,-15.027041,-2.551266,-1.939675,0.520655,-0.268924,-0.065076,0.101885,-0.775275,0.273877,-0.569157,0.089939,-0.857209,-0.507054,-0.626836,-0.444352,0.640021
10,3.765471,-7.092435,-12.624027,-14.944104,2.921235,2.153298,0.082938,-0.247971,-0.131235,0.119219,-0.822075,-0.097296,-0.561004,0.093532,-0.992489,0.078852,-0.564633,0.012354,0.82525
7,2.535325,-7.36891,-15.518492,-13.543375,-0.276474,-2.894464,1.400729,-0.265195,-0.084327,0.099337,-0.76624,0.106274,-0.633705,-0.166575,-0.982684,0.081151,-0.614352,0.167808,0.770981
10,3.616253,-8.978826,-13.624581,-14.971938,-1.609917,1.893911,-1.428563,-0.262715,-0.093768,0.112987,-0.825081,0.115841,-0.553012,0.104305,-0.941867,-0.319386,-0.557958,-0.321256,0.765165
7,2.623962,-7.804537,-13.798616,-13.441216,1.174289,-0.174035,1.530722,-0.263009,-0.097785,0.127935,-0.857151,0.020973,-0.514638,-0.009914,-0.999713,0.021794,-0.514178,0.02379,0.857353
7,2.744317,-9.070189,-13.441061,-13.465349,-1.265652,0.357554,-0.024134,-0.266808,-0.085013,0.137662,-0.886244,0.092411,-0.453907,0.048201,-0.966832,-0.250823,-0.462107,-0.24421,0.852537
9,3.339408,-6.914051,-14.569829,-14.678853,2.156138,-1.128767,-1.213504,-0.25576,-0.108991,0.095941,-0.756293,0.022104,-0.653859,-0.088809,-0.989641,0.112796,-0.644854,0.143434,0.750726
8,3.040572,-9.115522,-15.57899,-13.780245,-2.201471,-1.009162,0.898609,-0.270941,-0.060353,0.102785,-0.771504,0.245285,-0.587042,-0.05844,-0.956441,-0.286016,-0.631774,-0.186399,0.752408
6,2.230486,-9.498295,-14.732977,-13.482654,-0.382773,0.846013,0.297591,-0.271956,-0.063302,0.120663,-0.830649,0.21481,-0.513691,-0.012885,-0.94158,-0.336543,-0.556071,-0.272977,0.785028
13,4.878229,-7.537221,-12.535556,-13.438419,1.961075,2.197421,0.044235,-0.255369,-0.116216,0.145303,-0.891714,-0.088519,-0.443859,0.082591,-0.993142,0.082746,-0.448253,0.037136,0.893135
7,2.567418,-8.44683,-12.979463,-13.987282,-0.909609,-0.443907,-0.548864,-0.260812,-0.102883,0.134055,-0.877573,0.016081,-0.479174,0.088282,-0.984216,-0.153381,-0.47417,-0.17694,0.86247
7,2.581634,-7.845675,-14.570461,-15.589248,0.601155,-1.590998,-1.601965,-0.25665,-0.100614,0.086747,-0.735087,0.111329,-0.66877,0.010639,-0.990218,-0.139124,-0.677929,-0.109418,0.726939
9,3.183898,-6.779328,-13.186045,-13.097898,1.066347,1.384416,2.49135,-0.256028,-0.116031,0.138528,-0.869522,-0.101794,-0.48329,-0.01036,-0.961401,0.274957,-0.492791,0.244171,0.835187
