q1g,q2g,q3g
-2.423876716549142607e-01,-7.649771051285345069e-02,1.293562053845675186e-01
-2.455043750330079266e-01,-7.710602671044987366e-02,1.267724038129662278e-01
-2.518195441268265555e-01,-7.852610993940292716e-02,1.217547717290464043e-01
-2.578797992041704235e-01,-8.034894263874434173e-02,1.175552853665108172e-01
-2.616899358817173504e-01,-8.223583149804829240e-02,1.158080087987495843e-01
-2.632794327354644470e-01,-8.412932838753751918e-02,1.156598780376806856e-01
-2.635107436426216698e-01,-8.617294993567030381e-02,1.153750568541438148e-01
-2.631424683396652586e-01,-8.837264930270069541e-02,1.143173947356719983e-01
-2.626819701279287100e-01,-9.033939252779259188e-02,1.132003796381789995e-01
-2.624105160735776821e-01,-9.154054173892693658e-02,1.128307623512129765e-01
-2.623600653530916982e-01,-9.187137086586454060e-02,1.131731412686745458e-01
-2.623816968725172227e-01,-9.176848470560372562e-02,1.137933007503128813e-01
-2.623817617940493729e-01,-9.168408669146552170e-02,1.146010685146841013e-01
-2.624076126235267981e-01,-9.169015386539954016e-02,1.157937569895953062e-01
-2.625178082161421789e-01,-9.168633741610830723e-02,1.173582310797648132e-01
-2.626930061411442141e-01,-9.167234654401813787e-02,1.190134094992787717e-01
-2.628978280349510421e-01,-9.165028137478471726e-02,1.206088143479850799e-01
-2.631318669389276499e-01,-9.148360759975864009e-02,1.222203845426135527e-01
-2.633827507282517910e-01,-9.104752311777272733e-02,1.237598000391417347e-01
-2.635815317973245198e-01,-9.046711269725930815e-02,1.248304079065076372e-01
-2.636272501428963411e-01,-9.013292513054999011e-02,1.251776730986340347e-01
-2.634370973268060911e-01,-9.047414907742866441e-02,1.250424232809756175e-01
-2.629870244988826156e-01,-9.165200026988563897e-02,1.248608358555637343e-01
-2.623287691336780858e-01,-9.343891446924611210e-02,1.247743762269423046e-01
-2.615674903525460060e-01,-9.542473716145785656e-02,1.245604723897721505e-01
-2.608307442663502229e-01,-9.728963811716044574e-02,1.239547241414344775e-01
-2.602643418572426759e-01,-9.881108354750080258e-02,1.229528231492557216e-01
-2.600227941359423700e-01,-9.967274990849189775e-02,1.217413933925526326e-01
-2.601955860678350496e-01,-9.949477267078636611e-02,1.203694714255702514e-01
-2.607361757304570427e-01,-9.813487707216082823e-02,1.187946988701562567e-01
-2.614789778701019363e-01,-9.592931939505132399e-02,1.173506800732732475e-01
-2.621975793598744220e-01,-9.366854939445533323e-02,1.168306477360120527e-01
-2.626469468353657688e-01,-9.231475879478169555e-02,1.178337586676667936e-01
-2.626521980517579902e-01,-9.249555392449616831e-02,1.201760507841926340e-01
-2.622527567796160142e-01,-9.401270531569773381e-02,1.231093034439186551e-01
-2.617245496241181191e-01,-9.589779383022412063e-02,1.260586859740540633e-01
-2.613566408222172122e-01,-9.718347789054554431e-02,1.289198240494023040e-01
-2.611902881257713860e-01,-9.770579101304058267e-02,1.316975862147864162e-01
-2.610351114662053384e-01,-9.806209985476213586e-02,1.341274379386661886e-01
-2.607444516148352820e-01,-9.879338186783515052e-02,1.357868690738938400e-01
-2.603923136971570407e-01,-9.980277299202229557e-02,1.363474805148179314e-01
-2.601946026269654211e-01,-1.005019496944225543e-01,1.356068219963996735e-01
-2.603296778778769749e-01,-1.003032418316828073e-01,1.335070870063645998e-01
-2.608224713805194495e-01,-9.900177502380570760e-02,1.302944391845014815e-01
-2.614984868450579980e-01,-9.700653452968185930e-02,1.266731726547165593e-01
-2.620649193439491542e-01,-9.518015156520277797e-02,1.237424495979591171e-01
-2.623102884948986802e-01,-9.423131994307946957e-02,1.226057776979851133e-01
-2.622404351835027070e-01,-9.422353350208460820e-02,1.236785926932406909e-01
-2.619740602683218178e-01,-9.482543019552602814e-02,1.261845638602576702e-01
-2.615578970820804372e-01,-9.588754651377187632e-02,1.285247278403532645e-01
-2.609583516922389101e-01,-9.751739780463423990e-02,1.295056000298556720e-01
-2.602327063971179855e-01,-9.957838903664140151e-02,1.293342777332755489e-01
-2.595923551051474987e-01,-1.014609749720307569e-01,1.293867986299284123e-01
-2.592510634866903030e-01,-1.025042617320788829e-01,1.309038929063321699e-01
-2.592687577476080474e-01,-1.025053822511206164e-01,1.338483698061506133e-01
-2.595541309829784704e-01,-1.017842570454293716e-01,1.369533861044895939e-01
-2.599388049879496898e-01,-1.009280037927717810e-01,1.387934504864491159e-01
-2.602373476573260347e-01,-1.004649263636740175e-01,1.388125961892701099e-01
-2.603493133517255642e-01,-1.004988601198198994e-01,1.374910724582609212e-01
-2.603276480255676817e-01,-1.006524248511228847e-01,1.357784113204546228e-01
-2.602812960772172279e-01,-1.005528371892940864e-01,1.344926856131643256e-01
-2.602305421535648366e-01,-1.002927247480550899e-01,1.340738237228294716e-01
-2.601255388067439944e-01,-1.002416646267828004e-01,1.346146084035572121e-01
-2.599693091495048347e-01,-1.005325501500102386e-01,1.359081465784553744e-01
-2.598310280770900205e-01,-1.009678012677982795e-01,1.374860755030383463e-01
-2.597331877171946690e-01,-1.013833216857199931e-01,1.387500161138983668e-01
-2.596009248799532876e-01,-1.018805776876132441e-01,1.392328376254731992e-01
-2.593722853464387468e-01,-1.025737888177632451e-01,1.389274652686876277e-01
-2.591169224899471657e-01,-1.032460687725732795e-01,1.384032500196433202e-01
-2.589820240741009805e-01,-1.034554989888567950e-01,1.385587572246043397e-01
-2.590585278125365210e-01,-1.029395431211528600e-01,1.399738574679552094e-01
-2.593637983515343359e-01,-1.017687398602743487e-01,1.422425186909815065e-01
-2.598661436992937279e-01,-1.002699193083259610e-01,1.440494346321953834e-01
-2.604129976287201109e-01,-9.901575616314586825e-02,1.442451607435628058e-01
-2.607277685904678122e-01,-9.866644564860904687e-02,1.429080159795758365e-01
-2.606105643951316941e-01,-9.950700994391148413e-02,1.412654904758142982e-01
-2.601406815913122061e-01,-1.010986915578032108e-01,1.406581427171846588e-01
-2.596100143082796796e-01,-1.025367910591098164e-01,1.416739574998766849e-01
-2.592990585986676977e-01,-1.030341738680658897e-01,1.440057284961899775e-01
-2.593229047970370682e-01,-1.023618374011210086e-01,1.467703955455811615e-01
